source,target
八德市,八德區
中壢市,中壢區
平鎮市,平鎮區
楊梅市,楊梅區
楊梅鎮,楊梅區
大溪鎮,大溪區
蘆竹鄉,蘆竹區
龜山鄉,龜山區
龍潭鄉,龍潭區
大園鄉,大園區
觀音鄉,觀音區
新屋鄉,新屋區
復興鄉,復興區
三重市,三重區
蘆洲市,蘆洲區
板橋市,板橋區
新莊市,新莊區
中和市,中和區
永和市,永和區
新店市,新店區
土城市,土城區
樹林市,樹林區
汐止市,汐止區
淡水鎮,淡水區
大甲鎮,大甲區
大里市,大里區
太平市,太平區
沙鹿鎮,沙鹿區
豐原市,豐原區
大雅鄉,大雅區
員林鎮,員林市
頭份鎮,頭份市
佳里鎮,佳里區
后里鄉,后里區
潭子鄉,潭子區
鳳山市,鳳山區
永康市,永康區
大寮鄉,大寮區
林園鄉,林園區
清水鎮,清水區
鶯歌鎮,鶯歌區
三峽鎮,三峽區
瑞芳鎮,瑞芳區
五股鄉,五股區
泰山鄉,泰山區
林口鄉,林口區
深坑鄉,深坑區
石碇鄉,石碇區
坪林鄉,坪林區
三芝鄉,三芝區
石門鄉,石門區
八里鄉,八里區
平溪鄉,平溪區
雙溪鄉,雙溪區
貢寮鄉,貢寮區
金山鄉,金山區
萬里鄉,萬里區
烏來鄉,烏來區
東勢鎮,東勢區
梧棲鎮,梧棲區
烏日鄉,烏日區
神岡鄉,神岡區
石岡鄉,石岡區
外埔鄉,外埔區
大安鄉,大安區
大肚鄉,大肚區
龍井鄉,龍井區
霧峰鄉,霧峰區
新社鄉,新社區
和平鄉,和平區
新營市,新營區
白河鎮,白河區
麻豆鎮,麻豆區
新化鎮,新化區
善化鎮,善化區
學甲鎮,學甲區
柳營鄉,柳營區
後壁鄉,後壁區
東山鄉,東山區
下營鄉,下營區
六甲鄉,六甲區
官田鄉,官田區
大內鄉,大內區
西港鄉,西港區
七股鄉,七股區
將軍鄉,將軍區
北門鄉,北門區
新市鄉,新市區
安定鄉,安定區
山上鄉,山上區
玉井鄉,玉井區
楠西鄉,楠西區
南化鄉,南化區
左鎮鄉,左鎮區
仁德鄉,仁德區
歸仁鄉,歸仁區
關廟鄉,關廟區
龍崎鄉,龍崎區
岡山鎮,岡山區
旗山鎮,旗山區
美濃鎮,美濃區
大樹鄉,大樹區
仁武鄉,仁武區
大社鄉,大社區
鳥松鄉,鳥松區
橋頭鄉,橋頭區
燕巢鄉,燕巢區
田寮鄉,田寮區
阿蓮鄉,阿蓮區
路竹鄉,路竹區
湖內鄉,湖內區
茄萣鄉,茄萣區
永安鄉,永安區
彌陀鄉,彌陀區
梓官鄉,梓官區
六龜鄉,六龜區
甲仙鄉,甲仙區
杉林鄉,杉林區
內門鄉,內門區
茂林鄉,茂林區
桃源鄉,桃源區
那瑪夏鄉,那瑪夏區
